factual_questions,scenario_based_questions,advice_seeking_questions,ground_truth_doc_ids,ground_truth_docs
What are the legal consequences if someone conceals traces or evidence of a crime after knowing about it?,"If a neighbor refuses to report their grandchild's involvement in a minor theft, could they face criminal charges for hiding the crime?","As a spouse, what steps can I take legally if I am pressured by family members not to report my partner's illegal activities?",a56bfb3e-f69f-49a9-b68d-5a252832e4e2,"Article 18. Concealment of crimes  
1. Any person who, without prior promises and after knowing that a crime has been committed, 
harbors the criminal, conceals the traces or exhibits of the crime, or commits other acts that 
obstruct the discovery, investigation, and taking of actions against the criminal shall bear 
criminal responsibility for concealment of crimes in the cases defined by this Code. 
2. A person who conceals the crime shall not bear criminal responsibility as specified in Clause 1 
of this Article if he/she is a grandparent, parent, child, niece/nephew, sibling, spouse of the 
offender, except for concealment of crimes against national security or other extremely serious 
crimes specified in Article 389 hereof. 
"
What is misprision according to the law?,"If I witness a crime being committed by my spouse, am I required to report it under this legislation?","As an employee tasked with protecting others from harm, what steps should I take if I suspect criminal activity?",c12bb413-7af4-4282-8a0b-9ff2e1c3b9aa,"Article 19. Misprision 
1. Any person who knows that a crime is being prepared, being carried out, or has been carried 
out but fails to report it shall bear criminal responsibility for misprision in the cases specified in 
Article 389 hereof. 
2. A person who fails to report the crime shall not bear criminal responsibility as specified in 
Clause 1 of this Article if he/she is a grandparent, parent, child, niece/nephew, sibling, spouse of 
the offender, except for failure to report crimes against national security or other extremely 
serious crimes specified in Article 389 hereof. 
3. If defender of an offender has knowledge of the crime that was committed or participated in 
by the person he/she defends while performing the defender's duties, the defender shall not bearcriminal responsibility as specified in Clause 1 of this Article, except for failure to report crimes 
against national security or other extremely serious crimes specified in Article 389 hereof. "
What does the law say about being exempt from criminal responsibility when harmful consequences are unexpected?,"Imagine a person unknowingly causes harm because they didn't anticipate it, what legal consequence might they face according to this provision?","If I accidentally create a situation with negative outcomes that I couldn't have predicted, what steps should I take legally?",249f3246-1465-4502-9b36-83470e8e91b0,"Article 20. Unexpected events 
The person who commits an act that results in harmful consequences is exempt from criminal 
responsibility if such consequences cannot be foreseen or have to be foreseen.  
"
What does Article 21 say about criminal responsibility for individuals with mental diseases?,"If someone commits a crime but has a mental illness that makes them unaware, would they be held responsible according to the law?","As an individual who might have a condition affecting their awareness or control, what steps should I take if I am involved in a situation where my actions could be considered dangerous to society?",7152a47d-0691-40ca-b53b-6a191d18ba21,"Article 21. Lack of criminal capacity  
A person who commits an act that is dangerous to society is suffering from a mental disease or 
another disease that causes him/her to lose his/her awareness or control of his/her behaviors is 
exempt from criminal responsibility. 
"
What does justifiable force in self-defense legally mean?,"If someone is attacked and they use a reasonable amount of force to defend themselves, would that be considered lawful under the principle of justifiable force?","As an individual, how can I ensure my actions during self-defense are within legal limits to avoid criminal responsibility?",e4e0f20d-1f53-4fd0-9116-c8ac98bb20c3,"Article 22. Justifiable force 
1. Justifiable force in self-defense means the a person's use of force which is reasonably 
necessary to defend against another person's infringement upon his/her legitimate rights or 
interests of himself/herself, other people, the State, organizations. 
The use of justifiable force does not constitute a criminal offence. 
2. Unjustified force in self-defense means the use of force which is more than reasonably 
necessary and not appropriate for the nature and danger to society posed by the infringement. 
The person who uses unjustified force in self-defense shall take criminal responsibility as 
prescribed by this Code. 
"
What defines an urgent circumstance under this law?,"If someone breaks into my house and I have to use force to protect myself or others without another option, is that considered justified by the law?","As a person in an emergency situation where harm might be necessary to prevent greater damage, what steps should I take to ensure I'm not held legally responsible?",38f22dce-3e6d-472b-b23e-bb52eec3bdd2,"Article 23. Urgent circumstances 
1. An urgent circumstance is a circumstance in which there is no other way but an amount of 
damage has to be inflicted in order to prevent a greater damage to lawful rights and interests of 
oneself, another person, the State, or an organization. 
The act of inflicting damage in an urgent circumstance does not constitute a criminal offense. 
2. If the damage inflicted is reasonably unnecessary in the urgent circumstance, the person who 
inflicts such damage shall bear criminal responsibility. 
"
What are the conditions under which police authorities can legally inflict bodily harm on a criminal during capture?,"A police officer uses physical force to subdue a suspect, but the injuries sustained by the suspect appear excessive for capturing them—what legal consequences might this have according to the law?","If I'm involved in apprehending a suspected criminal and need to use force, what steps should I take to ensure that my actions are legally justified?",acca0fb0-b52d-477a-951e-d8bf064f9116,"Article 24. Infliction of bodily harm while capturing criminals 
1. If violence and infliction of bodily harm to a criminal is the only way to capture him/her, the 
use of violence in this case does not constitute a criminal offence. 
2. If the bodily harm inflicted by the use of violence is obviously more than necessary, the 
person who inflicts such damage shall bear criminal responsibility. 
"
What happens if someone conducting research doesn't follow the required procedures?,A scientist is performing an experiment that could potentially cause harm; what legal obligations does he have to prevent any resulting damage?,"If I'm involved in a technology application project, how can I ensure I don't face criminal liability for causing damage?",b5e18bba-627c-4f8f-8150-b437810b91c0,"Article 25. Risks from researches, experiments, application of technological advances 
The infliction of damage during the conduction of a research, experiment, or application of 
technological advances does not constitute a criminal offence provided the procedures and 
regulations are complied with and all preventive measures are taken.The person who fails to comply with the procedures, regulations, or take all preventive measures 
and causes damage shall bear criminal responsibility. 
"
What happens if a soldier follows an order from their commander or superior that results in damage?,A soldier receives an illegal order from their commanding officer during a national security operation; what legal consequences might they face and who could be held accountable?,"If I am ordered to perform a task by my military superior, what steps should I take if I believe the order is unlawful?",9c243f9d-1eb9-461b-80d2-163547106ccb,"Article 26. Following orders of commanders or superiors 
A person who inflicts damage while following an order of his/her commander or superior in the 
army to perform national defense and security duties is exempt from criminal responsibility if 
he/she complies with procedures for reporting to the order giver but the order giver still request 
that the order be followed. In this case, the order giver shall bear criminal responsibility. 
This provision does not apply to the cases specified in Clause 2 Article 421, Clause 2 Article 
422, and Clause 2 Article 423 hereof. "
What is the maximum time limit for criminal prosecution under this Code?,"If someone commits a crime and then deliberately evades capture, how does that affect the time limit for being prosecuted?","As an individual who has committed a less serious crime, what steps should I take to ensure I am not beyond the time limit for criminal prosecution?",4442489f-55e2-4337-afe5-9e07c7faf63e,"Article 27. Time limit for criminal prosecution 
1. The time limit for criminal prosecution is a time limit set out by this Code and upon the 
expiration of which the offender does not face any criminal prosecution. 
2. Time limits for criminal prosecution: 
a) 05 years for less serious crimes; 
b) 10 years for serious crimes; 
c) 20 years for very serious crimes; 
d) 20 years for extremely serious crimes. 
3. The time limit for criminal prosecution begins from the day on which the crime is committed. 
During the time limit set out in Clause 2 of this Article, if the offender commits another crime 
for which the maximum sentence is over 1 year's imprisonment, the time limit for prosecution 
for the previous crime will be reset and begins from the day on which the new crime is 
committed.  
During the time limit set out in Clause 2 of this Article, if the offender deliberately evades 
capture and a wanted notice has been issued, the time limit will begin when he/she turns 
himself/herself in or gets arrested. 
"
Which crimes are exempt from a time limit for criminal prosecution?,"If someone is accused of embezzlement, but no action was taken against them until many years later, would the charges still be valid under this law?",What steps should an individual take if they are involved in or witness a crime that might not have a time limit for prosecution?,38c6b533-a4ca-4292-9c81-7e205148d687,"Article 28. Non-application of time limit for criminal prosecution 
Time limit for criminal prosecution does not apply to the following crimes: 
1. Infringement of national security specified in Chapter XIII hereof; 
2. Disturbing the peace, crimes against humanity, and war crimes specified in Chapter XXVI 
hereof; 
3. Embezzlement in the case specified in Clause 3 and Clause 4 Article 353 hereof; acceptance 
of bribes in the case specified in Clause 3 and Clause 4 Article 254 hereof. 
"
What are the specific bases under Article 29 for exemption from criminal responsibility?,"If a policy change occurs after someone has committed a crime, how might that affect their legal status according to the law?","As an individual who has confessed and helped in solving a crime, what steps should I take to request forgiveness under this legislation?",c60a5a09-ade0-4910-8503-55a970fdfacb,"Article 29. Basis for exemption from criminal responsibility1. A criminal offender shall be exempt from criminal responsibility on one of the following 
bases: 
a) A policy or law is changed during the process of investigation, prosecution, or trial and 
accordingly, the offender's act is no longer dangerous to society;  
b) A general amnesty is granted. 
2. A criminal offender might be exempt from criminal responsibility on one of the following 
bases: 
a) The situation is changed during the process of investigation, prosecution, or trial and 
accordingly, the offender is no longer dangerous to society; 
b) The offender has a fatal disease during the process of investigation, prosecution, or trial and 
no longer poses a threat to society; 
c) The offender confesses his/her crime, contributes to the crime discovery and investigation; 
minimizes the damage inflicted by his/her crime, have made reparation or special contributions 
that are recognized by the State and society. 
3. The person who commits a less serious crime or a serious crime because of involuntary 
damage to life, health, honor, or property of others will be exempt from criminal responsibility if 
the aggrieved person or his/he representative voluntarily seeks reconciliation and requests 
exemption from criminal responsibility "
What is defined as a sentence under this code?,"If someone commits a serious crime, how might the court respond according to the definition provided?","As an individual who has been sentenced, what steps can I take to address my situation?",75d8885d-aa5e-4ec4-9b23-de410502f0a4,"Article 30. Definition of sentence 
A sentence means the most severe coercive measure of the State specified in this Code, taken by 
the Court against a person or corporate legal entity that commits a crime in order to deprive of or 
limit their rights and/or interests. 
"
What are the purposes of criminal sentences beyond punishment?,A person was convicted of a crime; what additional goals might their sentence aim to achieve besides punishing them?,"If I'm involved in a legal case, how can I ensure that my sentence also serves as an educational tool for others?",1e81451b-cbb2-4c89-9da6-9b750fe16d3b,"Article 31. Purposes of sentences 
Sentences are meant not only for punishing people and corporate legal entities that commit 
criminal offences, but also raising awareness of compliance with law, preventing them from 
committing other crimes, educating other people and corporate legal entities in compliance with 
the law, prevention of and fight against crimes. 
"
What are the types of primary sentences that can be imposed on criminals according to this law?,"If someone is convicted of theft, what kind of primary sentence might they receive under criminal sentencing guidelines?","As a person who has been sentenced with an additional penalty, how should I proceed legally?",3e398115-481f-4d13-9878-c4cf2f53002b,"Article 32. Sentences against criminals 
1. Primary sentences: 
a) Warning; 
b) Fine; 
c) Community sentence; 
d) Expulsion; 
dd) Determinate imprisonment; 
e) Life imprisonment;g) Death sentence. 
2. Additional sentences: 
a) Prohibition from holding certain positions or doing certain works;  
b) Prohibition from residence; 
c) Mandatory supervision; 
d) Deprivation of certain citizenship rights; 
dd) Confiscation of property; 
e) Fine if no administrative penalties are imposed; 
g) Expulsion if no administrative penalties are imposed. 
3. The offender shall incur only one primary sentence for a crime committed and possibly one or 
more additional sentences 
"
What types of primary sentences can be applied to corporate legal entities that commit crimes?,"If a corporation is found guilty of embezzlement, what possible penalties might it face under the law?","As an executive in a company, how should I ensure compliance with laws to avoid potential fines or operational restrictions?",51e90cb1-808b-4886-8f41-23b11bbbaed4,"Article 33. Sentences against corporate legal entities committing crimes 
1. Primary sentences: 
b) Fine; 
b) Suspension of operation; 
c) Permanent shutdown. 
2. Additional sentences: 
a) Prohibition from operating in certain fields; 
b) Prohibition from raising capital; 
c) Fine if no administrative penalties are imposed. 
3. The corporate legal entity shall incur only one primary sentence for a criminal offence 
committed and possibly one or more additional sentences. 
"
What conditions must be met to impose a warning according to the law?,"A person was caught stealing something of low value, had no prior record, and showed genuine remorse during questioning. Should they receive a warning instead of a more severe punishment?","If I'm involved in a minor offense but have several mitigating circumstances like being first-time offender or showing sincere repentance, what steps can I take to potentially get a warning from the court?",06145c51-b72a-4344-9b99-922446aaf1f8,"Article 34. Warning 
Warning is imposed upon people who commit less serious crimes and have multiple mitigating 
factors but are not eligible for exemption from sentence. 
"
What is the maximum amount for a fine according to Vietnamese law?,"If someone commits a crime related to corruption, how might the court decide on punishment beyond just imposing a fine?","As an individual facing charges that could result in a fine, what steps should I take?",192fdcfa-f687-4941-9fed-38f906aedd6f,"Article 35. Fine 
1. Fine is imposed as a primary sentence against: 
a) People who commit less serious crimes or serious crimes defined by this Code; 
b) People who commit very serious crimes against the law on economics, environment, public 
order, public safety, and other crimes defined by this Code. 
2. Fine is imposed as an additional sentence against people committing crimes related to 
corruption, drugs, or other crimes defined by this Code. 
3. The fine level depends on the nature and level of danger of the crime with account taken of the 
offender's property, fluctuation of prices. Nevertheless, the fine must not fall under VND 
1,000,000.4. Fines imposed upon corporate legal entities committing crimes are specified in Article 77 
hereof. 
"
What is the maximum duration for a community sentence under this law?,"If someone is sentenced to community service but loses their job, what alternative measures must they take according to the regulations?","As an individual serving a community sentence, how can I ensure that my family and local authorities are properly supervising me?",b23c8f29-5869-46b2-817b-5dbf9be8bfe8,"Article 36. Community sentence 
1. 6-month to 3-year community sentence shall be imposed upon people who commit less serious 
crimes or serious crimes defined by this Law and have stable jobs or fixed residences and do not 
have to be isolated from society. 
If the convict has been kept in temporary detention, the duration of temporary detention shall be 
deducted from the duration of community sentence: 01 day of temporary detention equals (=) 03 
days of community sentence. 
2. The person sentenced to community sentence shall be supervised and educated by the 
organization or agency for which he/she works or the People’s Committee of the commune 
where he/she resides. The family of the convict has the responsibility to cooperate with such 
agency or organization or the People’s Committee of the commune in supervising and educating 
him/her. 
3. While serving the sentence, the convict must fulfill certain duties according to regulations on 
community sentence and part of his income (5% - 20%) shall be extracted to pay to state budget 
on a monthly basis. In special cases, the court might not require income deduction and specify 
the reason in the judgment. 
The income of a sentenced person who is doing his/her military service shall not be deducted. 
4. If the person sentenced to community sentence is unemployed or loses his/her job while 
serving the sentence, he/she must do works serving the community during the period of 
community sentence. 
The duration of community serving must not exceeds 04 hours per day and 05 days per week. 
This measure must not be applied to pregnant women, women raising children under 06 months 
of age, old and weak people, people having fatal diseases, people having severe disabilities or 
extremely severe disabilities.  
People sentenced to community sentence must fulfill the duties specified in the Law on 
enforcement of criminal judgments. 
"
